cement,slag,fly_ash,water,superplasticizer,course_aggregate,fine_aggregate,age,strength,,cement_2,slag_2,fly_ash_2,water_2,superplasticizer_2,course_aggregate_2,fine_aggregate_2,age_2
540,0,0,162,2.5,1040,676,28,79.99,,291600,0,0,26244,6.25,1081600,456976,784
540,0,0,162,2.5,1055,676,28,61.89,,291600,0,0,26244,6.25,1113025,456976,784
332.5,142.5,0,228,0,932,594,270,40.27,,110556.25,20306.25,0,51984,0,868624,352836,72900
332.5,142.5,0,228,0,932,594,365,41.05,,110556.25,20306.25,0,51984,0,868624,352836,133225
198.6,132.4,0,192,0,978.4,825.5,360,44.3,,39441.96,17529.76,0,36864,0,957266.56,681450.25,129600
266,114,0,228,0,932,670,90,47.03,,70756,12996,0,51984,0,868624,448900,8100
380,95,0,228,0,932,594,365,43.7,,144400,9025,0,51984,0,868624,352836,133225
380,95,0,228,0,932,594,28,36.45,,144400,9025,0,51984,0,868624,352836,784
266,114,0,228,0,932,670,28,45.85,,70756,12996,0,51984,0,868624,448900,784
475,0,0,228,0,932,594,28,39.29,,225625,0,0,51984,0,868624,352836,784
198.6,132.4,0,192,0,978.4,825.5,90,38.07,,39441.96,17529.76,0,36864,0,957266.56,681450.25,8100
198.6,132.4,0,192,0,978.4,825.5,28,28.02,,39441.96,17529.76,0,36864,0,957266.56,681450.25,784
427.5,47.5,0,228,0,932,594,270,43.01,,182756.25,2256.25,0,51984,0,868624,352836,72900
190,190,0,228,0,932,670,90,42.33,,36100,36100,0,51984,0,868624,448900,8100
304,76,0,228,0,932,670,28,47.81,,92416,5776,0,51984,0,868624,448900,784
380,0,0,228,0,932,670,90,52.91,,144400,0,0,51984,0,868624,448900,8100
139.6,209.4,0,192,0,1047,806.9,90,39.36,,19488.16,43848.36,0,36864,0,1096209,651087.61,8100
342,38,0,228,0,932,670,365,56.14,,116964,1444,0,51984,0,868624,448900,133225
380,95,0,228,0,932,594,90,40.56,,144400,9025,0,51984,0,868624,352836,8100
475,0,0,228,0,932,594,180,42.62,,225625,0,0,51984,0,868624,352836,32400
427.5,47.5,0,228,0,932,594,180,41.84,,182756.25,2256.25,0,51984,0,868624,352836,32400
139.6,209.4,0,192,0,1047,806.9,28,28.24,,19488.16,43848.36,0,36864,0,1096209,651087.61,784
139.6,209.4,0,192,0,1047,806.9,3,8.06,,19488.16,43848.36,0,36864,0,1096209,651087.61,9
139.6,209.4,0,192,0,1047,806.9,180,44.21,,19488.16,43848.36,0,36864,0,1096209,651087.61,32400
380,0,0,228,0,932,670,365,52.52,,144400,0,0,51984,0,868624,448900,133225
380,0,0,228,0,932,670,270,53.3,,144400,0,0,51984,0,868624,448900,72900
380,95,0,228,0,932,594,270,41.15,,144400,9025,0,51984,0,868624,352836,72900
342,38,0,228,0,932,670,180,52.12,,116964,1444,0,51984,0,868624,448900,32400
427.5,47.5,0,228,0,932,594,28,37.43,,182756.25,2256.25,0,51984,0,868624,352836,784
475,0,0,228,0,932,594,7,38.6,,225625,0,0,51984,0,868624,352836,49
304,76,0,228,0,932,670,365,55.26,,92416,5776,0,51984,0,868624,448900,133225
266,114,0,228,0,932,670,365,52.91,,70756,12996,0,51984,0,868624,448900,133225
198.6,132.4,0,192,0,978.4,825.5,180,41.72,,39441.96,17529.76,0,36864,0,957266.56,681450.25,32400
475,0,0,228,0,932,594,270,42.13,,225625,0,0,51984,0,868624,352836,72900
190,190,0,228,0,932,670,365,53.69,,36100,36100,0,51984,0,868624,448900,133225
237.5,237.5,0,228,0,932,594,270,38.41,,56406.25,56406.25,0,51984,0,868624,352836,72900
237.5,237.5,0,228,0,932,594,28,30.08,,56406.25,56406.25,0,51984,0,868624,352836,784
332.5,142.5,0,228,0,932,594,90,37.72,,110556.25,20306.25,0,51984,0,868624,352836,8100
475,0,0,228,0,932,594,90,42.23,,225625,0,0,51984,0,868624,352836,8100
237.5,237.5,0,228,0,932,594,180,36.25,,56406.25,56406.25,0,51984,0,868624,352836,32400
342,38,0,228,0,932,670,90,50.46,,116964,1444,0,51984,0,868624,448900,8100
427.5,47.5,0,228,0,932,594,365,43.7,,182756.25,2256.25,0,51984,0,868624,352836,133225
237.5,237.5,0,228,0,932,594,365,39,,56406.25,56406.25,0,51984,0,868624,352836,133225
380,0,0,228,0,932,670,180,53.1,,144400,0,0,51984,0,868624,448900,32400
427.5,47.5,0,228,0,932,594,90,41.54,,182756.25,2256.25,0,51984,0,868624,352836,8100
427.5,47.5,0,228,0,932,594,7,35.08,,182756.25,2256.25,0,51984,0,868624,352836,49
349,0,0,192,0,1047,806.9,3,15.05,,121801,0,0,36864,0,1096209,651087.61,9
380,95,0,228,0,932,594,180,40.76,,144400,9025,0,51984,0,868624,352836,32400
237.5,237.5,0,228,0,932,594,7,26.26,,56406.25,56406.25,0,51984,0,868624,352836,49
380,95,0,228,0,932,594,7,32.82,,144400,9025,0,51984,0,868624,352836,49
332.5,142.5,0,228,0,932,594,180,39.78,,110556.25,20306.25,0,51984,0,868624,352836,32400
190,190,0,228,0,932,670,180,46.93,,36100,36100,0,51984,0,868624,448900,32400
237.5,237.5,0,228,0,932,594,90,33.12,,56406.25,56406.25,0,51984,0,868624,352836,8100
304,76,0,228,0,932,670,90,49.19,,92416,5776,0,51984,0,868624,448900,8100
139.6,209.4,0,192,0,1047,806.9,7,14.59,,19488.16,43848.36,0,36864,0,1096209,651087.61,49
198.6,132.4,0,192,0,978.4,825.5,7,14.64,,39441.96,17529.76,0,36864,0,957266.56,681450.25,49
475,0,0,228,0,932,594,365,41.93,,225625,0,0,51984,0,868624,352836,133225
198.6,132.4,0,192,0,978.4,825.5,3,9.13,,39441.96,17529.76,0,36864,0,957266.56,681450.25,9
304,76,0,228,0,932,670,180,50.95,,92416,5776,0,51984,0,868624,448900,32400
332.5,142.5,0,228,0,932,594,28,33.02,,110556.25,20306.25,0,51984,0,868624,352836,784
304,76,0,228,0,932,670,270,54.38,,92416,5776,0,51984,0,868624,448900,72900
266,114,0,228,0,932,670,270,51.73,,70756,12996,0,51984,0,868624,448900,72900
310,0,0,192,0,971,850.6,3,9.87,,96100,0,0,36864,0,942841,723520.36,9
190,190,0,228,0,932,670,270,50.66,,36100,36100,0,51984,0,868624,448900,72900
266,114,0,228,0,932,670,180,48.7,,70756,12996,0,51984,0,868624,448900,32400
342,38,0,228,0,932,670,270,55.06,,116964,1444,0,51984,0,868624,448900,72900
139.6,209.4,0,192,0,1047,806.9,360,44.7,,19488.16,43848.36,0,36864,0,1096209,651087.61,129600
332.5,142.5,0,228,0,932,594,7,30.28,,110556.25,20306.25,0,51984,0,868624,352836,49
190,190,0,228,0,932,670,28,40.86,,36100,36100,0,51984,0,868624,448900,784
485,0,0,146,0,1120,800,28,71.99,,235225,0,0,21316,0,1254400,640000,784
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,9
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,9
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,9
425,106.3,0,151.4,18.6,936,803.7,3,36.3,,180625,11299.69,0,22921.96,345.96,876096,645933.69,9
375,93.8,0,126.6,23.4,852.1,992.6,3,29,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,9
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,9
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,9
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,9
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,9
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,9
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,9
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,9
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,9
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,9
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3,,104781.69,79975.84,0,33782.44,106.09,888683.29,435468.01,9
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,9
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,9
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,9
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,9
439,177,0,186,11.1,884.9,707.9,3,39.3,,192721,31329,0,34596,123.21,783048.01,501122.41,9
389.9,189,0,145.9,22,944.7,755.8,3,40.6,,152022.01,35721,0,21286.81,484,892458.09,571233.64,9
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,9
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,9
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,49
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,49
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,49
425,106.3,0,151.4,18.6,936,803.7,7,46.8,,180625,11299.69,0,22921.96,345.96,876096,645933.69,49
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,49
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,49
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,49
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,49
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,49
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,49
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,49
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,49
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,49
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,49
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8,,104781.69,79975.84,0,33782.44,106.09,888683.29,435468.01,49
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,49
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,49
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,49
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,49
439,177,0,186,11.1,884.9,707.9,7,56.1,,192721,31329,0,34596,123.21,783048.01,501122.41,49
389.9,189,0,145.9,22,944.7,755.8,7,59.09,,152022.01,35721,0,21286.81,484,892458.09,571233.64,49
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,49
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,49
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,784
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,784
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,784
425,106.3,0,151.4,18.6,936,803.7,28,61.8,,180625,11299.69,0,22921.96,345.96,876096,645933.69,784
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,784
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,784
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,784
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,784
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,784
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,784
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,784
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,784
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,,104781.69,79975.84,0,33782.44,106.09,888683.29,435468.01,784
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
439,177,0,186,11.1,884.9,707.9,28,66,,192721,31329,0,34596,123.21,783048.01,501122.41,784
389.9,189,0,145.9,22,944.7,755.8,28,74.5,,152022.01,35721,0,21286.81,484,892458.09,571233.64,784
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,784
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,784
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,3136
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,3136
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,3136
425,106.3,0,151.4,18.6,936,803.7,56,64.9,,180625,11299.69,0,22921.96,345.96,876096,645933.69,3136
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,3136
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,3136
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,3136
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,3136
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,3136
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,3136
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,3136
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,3136
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2,,104781.69,79975.84,0,33782.44,106.09,888683.29,435468.01,3136
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
439,177,0,186,11.1,884.9,707.9,56,71.7,,192721,31329,0,34596,123.21,783048.01,501122.41,3136
389.9,189,0,145.9,22,944.7,755.8,56,79.4,,152022.01,35721,0,21286.81,484,892458.09,571233.64,3136
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,3136
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,3136
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9,,139876,35796.64,0,28934.01,102.01,857661.21,572594.89,8281
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6,,98156.89,68748.84,0,30800.25,73.96,1095999.61,374299.24,8281
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,8281
425,106.3,0,151.4,18.6,936,803.7,91,66.7,,180625,11299.69,0,22921.96,345.96,876096,645933.69,8281
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5,,140625,8798.44,0,16027.56,547.56,726074.41,985254.76,8281
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19,,225625,14113.44,0,32797.21,79.21,726074.41,610742.25,8281
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7,,219961,13735.84,0,18988.84,1036.84,726074.41,706440.25,8281
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,8281
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6,,151009.96,9428.41,0,24932.41,146.41,726074.41,856920.49,8281
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,,282279.69,0,0,20107.24,795.24,726074.41,798699.69,8281
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,180625,11299.69,0,23562.25,272.25,726074.41,786946.41,8281
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1,,101633.44,45156.25,0,24242.49,204.49,726074.41,775104.16,8281
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5,,161443.24,8968.09,0,21726.76,129.96,896430.24,726074.41,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5,,144020.25,22861.44,0,23685.21,252.81,1286636.49,366025,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8,,81967.69,40360.81,0,20938.09,125.44,1009221.16,645933.69,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
439,177,0,186,11.1,884.9,707.9,91,73.3,,192721,31329,0,34596,123.21,783048.01,501122.41,8281
389.9,189,0,145.9,22,944.7,755.8,91,82.6,,152022.01,35721,0,21286.81,484,892458.09,571233.64,8281
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,,131478.76,35721,0,27192.01,134.56,892458.09,571233.64,8281
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8,,114176.41,35721,0,30590.01,90.25,892458.09,571233.64,8281
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,9
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,196
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,784
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,3136
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71,,49461.76,0,9350.89,35834.49,20.25,935282.41,757422.09,10000
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,9
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,196
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,784
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,3136
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56,,54662.44,0,8949.16,39164.41,21.16,896809,726244.84,10000
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,9
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,196
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72,,37908.09,0,10100.25,27423.36,56.25,1012840.96,820654.81,784
